Code,Scheme Name,Scheme NAV Name
153810,Nippon India Nifty India Manufacturing ETF,Nippon India Nifty India Manufacturing ETF
153811,Zerodha Nifty 8-13 Yr G-Sec ETF,Zerodha Nifty 8-13 Yr G-Sec ETF
153820,Motilal Oswal Silver ETF,Motilal Oswal Silver ETF
153826,ANGEL ONE GOLD ETF,ANGEL ONE GOLD ETF
153827,ANGEL ONE GOLD ETF FOF,ANGEL ONE GOLD ETF FOF- DIRECT GROWTH
153837,Zerodha Nifty Smallcap 100 ETF,Zerodha Nifty Smallcap 100 ETF
153841,Edelweiss Nifty LargeMidcap 250 ETF,Edelweiss Nifty LargeMidcap 250 ETF - Growth
153874,DSP Nifty500 Flexicap Quality 30 ETF,DSP Nifty500 Flexicap Quality 30 ETF
153899,Groww Nifty Realty ETF,Groww Nifty Realty ETF
153904,Kotak Nifty 200 Momentum 30 ETF,Kotak Nifty 200 Momentum 30 ETF
153905,Zerodha Nifty 50 ETF,Zerodha Nifty 50 ETF
153907,Groww Nifty Capital Markets ETF,Groww Nifty Capital Markets ETF
153908,Groww Nifty Capital Markets ETF FOF,Groww Nifty Capital Markets ETF FOF Direct Growth
153920,Edelweiss Nifty 1D Rate Liquid ETF - Growth,Edelweiss Nifty 1D Rate Liquid ETF - Growth
153923,Groww Nifty Smallcap 250 ETF,Groww Nifty Smallcap250 ETF
153928,Motilal Oswal Nifty 100 ETF,Motilal Oswal Nifty 100 ETF
153929,Bandhan Silver ETF,Bandhan Silver ETF
