date,regime_score,dyn_n,n_held,exits,entries,exits_52h,exits_adtv,exits_reldd,exits_rank,exits_data
2023-02-13,0.48218403226878465,17,17,0,0,0,0,0,0,0
2023-02-20,0.4818312725491555,17,17,1,1,1,0,0,0,0
2023-02-27,0.4239371440943851,16,16,1,0,1,0,0,0,0
2023-03-06,0.4934064591940336,18,18,1,3,0,0,0,1,0
2023-03-13,0.4394772292887115,16,18,0,0,0,0,0,0,0
2023-03-20,0.41960349735042246,16,16,2,0,2,0,0,0,0
2023-03-27,0.39404486045110193,15,11,5,0,4,0,0,1,0
2023-04-03,0.46045051141878235,17,17,1,7,1,0,0,0,0
2023-04-10,0.5084544178450198,18,18,0,1,0,0,0,0,0
2023-04-17,0.5573658215986882,19,19,0,1,0,0,0,0,0
2023-04-24,0.5726175750034114,20,20,1,2,0,0,0,1,0
2023-04-28,0.6268669548662926,21,21,0,1,0,0,0,0,0
2023-05-08,0.6531890968015038,22,22,0,1,0,0,0,0,0
2023-05-15,0.6560521101447467,22,22,0,0,0,0,0,0,0
2023-05-22,0.6395974428709903,22,22,1,1,0,0,0,1,0
2023-05-29,0.6677216485798569,22,22,0,0,0,0,0,0,0
2023-06-05,0.7075881924151325,23,23,1,2,0,0,0,1,0
2023-06-12,0.7120398536491052,23,23,3,3,0,0,0,3,0
2023-06-19,0.7347067857397978,24,24,0,1,0,0,0,0,0
2023-06-26,0.7189654675122157,24,24,2,2,0,0,0,2,0
2023-07-03,0.7436208680778345,24,24,3,3,0,0,0,3,0
2023-07-10,0.7481879644523588,24,24,1,1,0,0,0,1,0
2023-07-17,0.7675468774094779,25,25,0,1,0,0,0,0,0
2023-07-24,0.752525125362357,25,25,0,0,0,0,0,0,0
2023-07-31,0.766565675617554,25,25,1,1,0,0,0,1,0
2023-08-07,0.7542500541520056,25,25,0,0,0,0,0,0,0
2023-08-14,0.7224857714931088,24,25,0,0,0,0,0,0,0
2023-08-21,0.7265704261981225,24,24,2,1,0,0,0,2,0
2023-08-28,0.739523564177108,24,24,1,1,0,0,1,0,0
2023-09-04,0.7853372066686538,25,25,0,1,0,0,0,0,0
2023-09-11,0.8089719892631043,25,25,2,2,0,0,0,2,0
2023-09-18,0.7902953090529473,25,25,1,1,0,0,0,1,0
2023-09-25,0.7392579694614645,24,24,2,1,2,0,0,0,0
2023-09-29,0.7494081892269924,24,24,1,1,0,0,0,1,0
2023-10-09,0.7134218089345498,24,24,1,1,1,0,0,0,0
2023-10-16,0.7584946448794226,25,25,0,1,0,0,0,0,0
2023-10-23,0.6329119077255567,21,21,4,0,2,0,0,2,0
2023-10-30,0.64368057043569,22,22,0,1,0,0,0,0,0
2023-11-06,0.7035608405261506,23,23,0,1,0,0,0,0,0
2023-11-13,0.7243008391691315,24,24,1,2,0,0,0,1,0
2023-11-20,0.7494935532324829,24,24,0,0,0,0,0,0,0
2023-11-24,0.7539275501807138,25,25,2,3,0,0,0,2,0
2023-12-04,0.8082122755133512,25,25,4,4,0,0,1,3,0
2023-12-11,0.8118580732387594,25,25,2,2,0,0,1,1,0
2023-12-18,0.8248426499144881,25,25,0,0,0,0,0,0,0
2023-12-22,0.7917153999218346,25,25,3,3,1,0,0,2,0
2024-01-01,0.8145808958649599,25,25,1,1,0,0,0,1,0
2024-01-08,0.8033164338533928,25,25,0,0,0,0,0,0,0
2024-01-15,0.8162902114064174,25,25,3,3,0,0,0,3,0
2024-01-19,0.7842167731454373,25,25,1,1,0,0,0,1,0
2024-01-29,0.7679518610815571,25,25,4,4,0,0,0,4,0
2024-02-05,0.7626936562343648,25,25,2,2,0,0,0,2,0
2024-02-12,0.7090385444927445,23,23,5,3,0,0,0,5,0
2024-02-19,0.7591917467290122,25,25,2,4,0,0,0,2,0
2024-02-26,0.7512619737791906,25,25,4,4,0,0,0,4,0
2024-03-04,0.7272963536282157,24,24,1,0,0,0,0,1,0
2024-03-11,0.6573798670496456,22,22,6,4,0,0,4,2,0
2024-03-18,0.5847508424133605,20,20,9,7,3,0,2,4,0
2024-03-22,0.6227210098360925,21,21,1,2,1,0,0,0,0
2024-04-01,0.7079051179772575,23,23,2,4,0,0,0,2,0
2024-04-08,0.7565145065036518,25,25,1,3,0,0,0,1,0
2024-04-15,0.698697581495674,23,23,4,2,0,0,0,4,0
2024-04-22,0.7105813130996205,23,23,1,1,0,0,0,1,0
2024-04-29,0.7630287636745083,25,25,2,4,0,0,0,2,0
2024-05-06,0.7174653324839686,24,24,2,1,1,0,1,0,0
2024-05-13,0.6502444906402107,22,22,2,0,1,0,0,1,0
2024-05-17,0.7262121766039631,24,24,1,3,0,0,0,1,0
2024-05-27,0.7154472333651579,24,24,5,5,1,0,1,3,0
2024-06-03,0.703704457573347,23,23,5,4,0,0,2,3,0
2024-06-10,0.7681558482379204,25,25,2,4,0,0,0,2,0
2024-06-14,0.8029513593681671,25,25,1,1,0,0,0,1,0
