TICKER,RANK,S_12M,S_9M,S_6M,S_3M,Z_12M,Z_9M,Z_6M,Z_3M,COMPOSITE,1M%,3M%,12M%
PIDILITIND,295.0,-0.2689538531265885,-1.0641308595745864,-1.522652481959553,-1.1187018055850328,-0.2573466810347565,-0.2738514268013445,-0.42733412263051507,-0.04723695092365977,-0.25144229534756896,-5.698158849616986,-3.8635429510891828,3.149090124918885
LICI,296.0,0.03122426879414457,-1.5484831717117826,-1.196152359185214,-1.3738305466587892,0.06941234452738915,-0.6960483635374494,-0.20598686851159795,-0.1806344866604886,-0.25331434354553667,-10.391423306717297,-6.800627214123944,8.410457339728428
VBL,297.0,-0.6332761604679953,-0.7768778444696584,-0.9185838669816145,-1.6833280115001898,-0.6539298876179016,-0.023460667830097957,-0.01781228818637579,-0.3424594498256658,-0.2594155733650103,-5.706789111183996,-8.546283533029374,-11.65625320086039
ADANIENT,298.0,-0.5218380335550903,-1.1636612392073507,-0.8732899293230272,-1.3394918203785742,-0.5326238659547137,-0.3606093927284934,0.012894250738545198,-0.16268001611811284,-0.26075475601569365,-12.239456024176699,-12.047924461072501,-8.295702543525286
NHPC,299.0,-0.5487028078511061,-1.4421063707988433,-0.8098940816361988,-0.9108713706049203,-0.5618675277337395,-0.6033225555670977,0.055872785290947614,0.06143002152632131,-0.2619718191208921,-6.894803548795958,-3.9361841244932694,-5.298440118602555
KOTAKBANK,300.0,-0.49126484135483073,-0.8594822218371236,-0.5331277426916604,-2.3795120676239048,-0.499343404248317,-0.09546469095873823,0.2435035544231847,-0.7064687618119061,-0.2644433256489441,-10.634328358208956,-9.949710955491852,-3.480932950481086
TATACOMM,301.0,-0.30749260406285966,-0.8854281554999425,-0.48347606600938553,-2.868864236171136,-0.2992980551780179,-0.11808106635057783,0.2771643757504028,-0.9623332054529394,-0.27563698780778306,-5.763853584138268,-17.908547387068197,-1.3996475946673748
BHARTIARTL,302.0,0.14509618333154997,-0.6430386780593808,-0.9174807601308733,-3.6897971010783195,0.19336766677090717,0.09320334854343618,-0.01706444873585254,-1.39156913051218,-0.2805156409834223,-11.343342164655091,-13.528257644637975,10.689127105666163
AKZOINDIA,303.0,-0.40069784678603576,-0.5663136009411536,-1.3135030521331104,-2.1865399018772833,-0.40075666280282873,0.1600825431264515,-0.28554351134606903,-0.605570637719504,-0.28294706718548757,-3.182658376743397,-19.21254101348888,-3.6770245963967607
RCF,304.0,-0.057701760102312205,-1.3751494611430148,-1.6266050857398422,-1.1611903987367016,-0.02738812301964448,-0.5449580109130825,-0.49780767470688564,-0.06945269031665416,-0.28490162473906666,-10.237139730025547,-11.604512466767257,6.1066068656201455
