Rebalance_Date,State,Regime,Exposure,Eligible_Count,Turnover_Pct,Gross_Return,Net_Return,Nifty_Return,Equity,Nifty_Equity,Top20_Tickers
2024-07-19,Bull,Bull (exp=1.00),1.0,624,19.404452565832447,0.026231417939448186,0.02545523983681489,0.019185161199986034,28203245.933936756,5420379.905169149,"TRENT, V2RETAIL, DIACABS, GVT&D, TARIL, COCHINSHIP, SHAKTIPUMP, DIXON, CHOICEIN, GALLANTT, KIRLOSENG, SKYGOLD, GRSE, KIRLOSBROS, RVNL, OIL, OFSS, SHAILY, ZYDUSLIFE, GMRP&UI"
2024-07-26,Bull,Bull (exp=1.00),1.0,633,1.447742112528694,0.028849349185921355,0.028791439501420206,-0.0013996191833693938,29015257.98298737,5412793.437472724,"TRENT, V2RETAIL, DIACABS, GVT&D, TARIL, COCHINSHIP, SHAKTIPUMP, DIXON, CHOICEIN, GALLANTT, KIRLOSENG, SKYGOLD, GRSE, KIRLOSBROS, RVNL, OIL, OFSS, SHAILY, ZYDUSLIFE, GMRP&UI"
2024-08-02,Correction,Correction (exp=0.50),0.5022972003451787,631,28.20654330577873,0.0030539327813285605,0.0019256710490974114,-0.014443591744430773,29071131.8252673,5334613.258864935,"TRENT, V2RETAIL, DIACABS, GVT&D, TARIL, COCHINSHIP, SHAKTIPUMP, DIXON, CHOICEIN, SKYGOLD, GRSE, RVNL, OIL, OFSS, SHAILY, ZYDUSLIFE, GMRP&UI, ETERNAL, BBOX, SUZLON"
2024-08-09,Correction,Correction (exp=0.50),0.5021987965013025,616,4.125175106292691,0.0044202741856371785,0.004255267181385471,0.0058019063406546945,29194837.258449093,5365564.185356484,"TRENT, V2RETAIL, DIACABS, GVT&D, TARIL, COCHINSHIP, SHAKTIPUMP, DIXON, CHOICEIN, SKYGOLD, OIL, OFSS, SHAILY, ZYDUSLIFE, GMRP&UI, ETERNAL, BBOX, SUZLON, GRANULES, WOCKPHARMA"
2024-08-16,Correction,Correction (exp=0.50),0.5022377538200569,599,2.9900690580400053,0.018967501902964163,0.01884789914064256,0.015707067421334653,29745098.60652382,5449841.463769376,"TRENT, V2RETAIL, DIACABS, GVT&D, TARIL, COCHINSHIP, SHAKTIPUMP, DIXON, CHOICEIN, SKYGOLD, OIL, OFSS, SHAILY, GMRP&UI, ETERNAL, BBOX, SUZLON, GRANULES, WOCKPHARMA, GLENMARK"
2024-08-23,Correction,Correction (exp=0.50),0.5023438319628154,618,2.4502638744995835,0.010665957934766114,0.01056794737978613,0.0134892489532914,30059443.243404113,5523355.732030132,"TRENT, V2RETAIL, DIACABS, GVT&D, TARIL, SHAKTIPUMP, DIXON, CHOICEIN, SKYGOLD, OIL, OFSS, SHAILY, GMRP&UI, ETERNAL, BBOX, SUZLON, GRANULES, WOCKPHARMA, GLENMARK, PCJEWELLER"
2024-08-30,Bull,Bull (exp=1.00),1.0,613,25.809418215704795,-0.011886623921747474,-0.012919000650375666,-0.010821776692627405,29671105.276592646,5463583.209704158,"TRENT, V2RETAIL, DIACABS, GVT&D, TARIL, SHAKTIPUMP, DIXON, CHOICEIN, SKYGOLD, OIL, SHAILY, GMRP&UI, ETERNAL, SUZLON, GRANULES, WOCKPHARMA, GLENMARK, PCJEWELLER, STAR, WEBELSOLAR"
2024-09-06,Correction,Correction (exp=0.50),0.5023339886996444,601,28.21153481965944,0.000746127561761013,-0.0003823338310253645,0.019188421353028673,29659761.009241488,5568420.746429294,"TRENT, V2RETAIL, DIACABS, GVT&D, SHAKTIPUMP, CHOICEIN, SKYGOLD, OIL, SHAILY, GMRP&UI, ETERNAL, GRANULES, WOCKPHARMA, GLENMARK, PCJEWELLER, STAR, WEBELSOLAR, PGEL, REFEX, COHANCE"
2024-09-13,Bull,Bull (exp=1.00),1.0,607,25.76728177642773,-0.006341115924610817,-0.0073718071956679265,0.011099873789085724,29441114.96961177,5630229.513919186,"TRENT, V2RETAIL, DIACABS, GVT&D, SHAKTIPUMP, CHOICEIN, SKYGOLD, SHAILY, GMRP&UI, ETERNAL, WOCKPHARMA, GLENMARK, PCJEWELLER, STAR, WEBELSOLAR, PGEL, REFEX, COHANCE, KALYANKJIL, BAJAJ-AUTO"
2024-09-20,Bull,Bull (exp=1.00),1.0,596,9.42719759937201,0.041025332481690525,0.040648244577715646,0.012224206201588927,30637844.611537196,5699054.600459605,"TRENT, V2RETAIL, DIACABS, SHAKTIPUMP, CHOICEIN, SKYGOLD, SHAILY, GMRP&UI, ETERNAL, GLENMARK, PCJEWELLER, STAR, WEBELSOLAR, PGEL, REFEX, COHANCE, KALYANKJIL, BAJAJ-AUTO, ANANTRAJ, JUBLPHARMA"
