CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,323","-1,914","36,199",34.71,1.65,0.10,"2,080",1.45,1.60,"1,365","25,650.00",780,"2,425.60","2,625.55",780,-,-,31.85,-,-,36,
,"3,310","-4,216","89,254",35.01,1.50,0.05,"2,535",1.35,1.50,260,"25,700.00",780,"2,559.80","2,612.55",325,837.60,"2,745.95",-,8,-2,179,
,"2,083","-1,181","36,965",35.69,1.55,0.15,"1,495",1.35,1.55,"1,365","25,750.00",845,"2,619.85","2,707.95",780,431.45,"2,580.45",51.28,1,-,22,
,"3,754","-3,919","1,22,702",36.17,1.40,0.05,"1,365",1.40,1.45,130,"25,800.00",780,"2,653.20","2,738.90",780,749.30,"2,744.65",-,33,-3,305,
,"1,174","-1,391","76,991",36.75,1.40,-,845,1.35,1.45,"1,560","25,850.00",780,"2,699.40","2,813.25",780,-,-,31.82,-,-,25,
,"3,485","-2,054","97,475",37.21,1.40,0.10,"1,300",1.25,1.35,"1,040","25,900.00",780,"2,759.30","2,858.10",780,569.05,"2,677.30",-,3,-,124,
,977,70,"30,176",37.67,1.40,0.10,"1,950",1.20,1.35,325,"25,950.00",780,"2,802.80","2,926.40",780,-,-,-,-,-,10,
,"31,607","-3,574","2,26,769",38.01,1.25,-,"1,86,160",1.20,1.25,"1,09,980","26,000.00",780,"2,872.45","2,907.15",195,687.70,"2,921.10",65.18,202,-79,"1,896",
,910,77,"12,476",38.57,1.25,-,260,1.15,1.35,"1,560","26,050.00",780,"2,829.45","3,123.55",780,-,-,-,-,-,21,
,"2,972",-315,"59,422",38.89,1.20,0.05,"20,475",1.15,1.20,"1,755","26,100.00",780,"2,957.00","3,051.60","1,105",-,-,46.96,-,-,313,
,"1,379",786,"25,661",39.31,1.05,-0.10,"3,445",1.05,1.25,"1,755","26,150.00",780,"3,002.45","3,195.40",780,-,-,-,-,-,2,
,"3,583","-1,271","54,687",39.87,1.05,-0.05,845,1.05,1.20,"1,755","26,200.00",130,"3,083.10","3,149.50",195,577.70,"2,986.20",-,1,-,213,
