,RS_12M_before,RS_9M_before,RS_6M_before,RS_3M_before,RZ_12M_before,RZ_9M_before,RZ_6M_before,RZ_3M_before,RES_MOM_before,RS_12M_after,RS_9M_after,RS_6M_after,RS_3M_after,RZ_12M_after,RZ_9M_after,RZ_6M_after,RZ_3M_after,RES_MOM_after,RANK_before,COMPOSITE_before,RANK_after,COMPOSITE_after
M&MFIN,1.3872880085799706,1.3398253166960223,0.7318767484820545,2.6538439688775837,1.2795220621834016,1.0479329270215965,0.31611902346074217,1.2924565242039427,0.9840076342174209,1.6294174823410927,1.7917688359475805,1.3239528977426245,2.1081991014198116,1.5202089105789682,1.5176600558737363,0.7480827631505415,1.148189625819784,1.2335353388557575,229.0,1.4275719198231438,229.0,1.4275719198231438
KRBL,0.2720251753780428,0.2612714452553853,0.8210254989923068,2.0859138466492237,0.2938687649614258,0.15178419468360124,0.3786563665187043,1.017261684332012,0.4603927526239358,-0.13155985270617546,0.03215418104710611,0.5914852278203014,-0.18798564240226515,-0.03787962276187575,0.05420108128009657,0.21967788344170672,-0.04658301720066572,0.047354081189815454,230.0,1.420588752594496,230.0,1.420588752594496
KPRMILL,-0.39048499205213666,0.07324862219479836,0.9874015430804207,1.1009828351286022,-0.29164821949313247,-0.004440189649926309,0.49536821818474047,0.5400059069190819,0.18482142899019088,-0.6343380633032656,-0.3243132994437538,0.6623251261387307,0.8991010927169318,-0.48273087050603075,-0.24227038309551618,0.27078204747055096,0.5190602722625777,0.016210266532895437,231.0,1.4201351823149593,231.0,1.4201351823149593
LLOYDSENT,-0.1440443761108192,0.7350645957165516,1.3895155250700675,-0.005487976910680743,-0.07384753750089557,0.5454493999357696,0.7774488967826735,0.0038570991267021393,0.3132269645860624,0.14212253035241956,0.8012171856037412,1.688341754505888,1.6005823714336853,0.20427078674895838,0.6938253040676794,1.0109542289254763,0.8840616701930931,0.6982779974838018,232.0,1.4149903393673595,232.0,1.4149903393673595
EQUITASBNK,0.7904787818904608,1.244195689200893,0.7791653698395765,-1.2907328432762593,0.7520706268924474,0.9684761917365553,0.3492917232422532,-0.6189180299823673,0.3627301279722222,0.8743637886836066,1.3175213562151957,0.6238196152895251,0.003969357222821278,0.8521477841063771,1.1232318050860493,0.24300402986800004,0.053296830385685494,0.567920112361528,233.0,1.4133217683307522,233.0,1.4133217683307522
BAJFINANCE,0.764713916803798,0.915079345893218,0.8050442384163331,1.9737693156931524,0.7293000086407491,0.6950200374760933,0.36744560282972344,0.962921202939902,0.688671712971617,0.7758778951330118,0.518686355431714,1.1752334045549075,0.8844354593171978,0.7650088196330553,0.4588464251050971,0.6407959720263023,0.5114293106747906,0.5940201318598113,234.0,1.4131116898177258,234.0,1.4131116898177258
GOKULAGRO,0.9999218679216082,0.5614977552941524,1.5319950982942887,-0.18765956139914775,0.9371734225574482,0.40123620100423607,0.8773975096176955,-0.08441552114886348,0.5328479030076291,0.9335715227737598,0.5540100813444551,1.3625937095637066,-0.22387638922447972,0.9045339731475242,0.4882249163327748,0.7759583873734316,-0.06525803128920014,0.5258648113911326,235.0,1.4122898530853014,235.0,1.4122898530853014
NAUKRI,-0.43539889065893783,-0.24717168012999377,0.7208234864100762,2.462059438389362,-0.331342478940288,-0.27067097825224035,0.3083652227832399,1.1995258781756308,0.22646941094158557,-0.8664877448261668,-0.9322030810185197,-0.7460348984815525,2.1631966274267183,-0.6881337167555267,-0.7478479843798589,-0.7452140707951629,1.1768064606296356,-0.25109732782522826,236.0,1.411913936344431,236.0,1.411913936344431
AGARWALEYE,0.7685212163509896,-0.24211056445169254,0.4605174159621417,2.0217399744428683,0.7326648453774196,-0.26646579896595446,0.1257619901580057,0.9861657487677971,0.39453169633431695,1.080007611973818,-0.022231300579102383,0.5946930149036234,2.386622764795348,1.0340986114361614,0.008969063604059396,0.2219919928795663,1.293061669354449,0.639530334318559,237.0,1.4023882397391254,237.0,1.4023882397391254
TATACAP,,1.2615219262236017,0.7287250196800749,1.6304247670979126,0.0,0.9828722138131797,0.31390810357474336,0.7965510028511399,0.5233328300597657,,1.0035277900561181,0.6381239704893858,1.105707832198904,0.0,0.8620855927148215,0.25332324448875787,0.6265638522166133,0.43549317235504814,238.0,1.400001062558037,238.0,1.400001062558037
