,equity
2023-10-26,1206317.0507981637
2023-10-27,1205779.6954972604
2023-10-30,1206008.5643174509
2023-10-31,1204198.7029435495
2023-11-01,1204330.2262894968
2023-11-02,1203887.6224229196
2023-11-03,1210724.3198258737
2024-01-02,1277379.2604731051
2024-01-04,1275204.331973157
2024-01-17,1335592.8196019412
2024-01-19,1316031.1187625476
2024-01-23,1303163.2879128468
2024-01-29,1358130.9680448496
2024-01-31,1389104.930234375
2024-02-01,1368455.1309866332
2024-02-02,1390133.6963781738
2024-02-05,1418067.968541565
2024-02-06,1451710.6081289672
2024-02-07,1473301.2247976684
2024-02-08,1464726.2749685668
2024-03-13,1359554.0931502494
2024-03-19,1360663.8783064994
2024-03-20,1359551.3193465385
2024-05-09,1355646.8097469292
2024-05-28,1356103.5925375484
2024-06-04,1344974.5326925777
2024-06-06,1352989.9978850475
2024-06-11,1376565.9608398876
2024-06-13,1382349.6204522084
2024-06-14,1378318.6798577716
2024-06-18,1375888.072271118
2024-06-19,1387902.2576615904
2024-06-20,1425005.2915208433
2024-06-21,1401099.6792352293
2024-06-24,1383288.3001907982
2024-06-25,1375114.6340492882
2024-06-26,1385545.1947721723
2024-06-27,1385595.6421836352
2024-06-28,1403386.0805228685
2024-07-01,1446779.3476890062
2024-07-02,1434571.5251182055
2024-07-03,1437292.0127499157
2024-07-04,1448562.8216946179
2024-07-05,1462992.1487667614
2024-07-08,1483880.7623531872
2024-07-09,1489373.2173397595
2024-07-10,1471504.1369869763
2024-07-11,1488827.6867306286
2024-07-12,1478012.8686764294
2024-07-15,1470026.9357845837
2024-07-16,1476327.2578976208
2024-07-29,1488298.126336956
2024-08-06,1435656.5194974672
2024-08-09,1444339.4933038494
2024-08-21,1502569.1587826943
2024-08-22,1523684.2725353993
2024-09-24,1605913.7581035213
2024-10-04,1548759.7230025178
2024-10-07,1542678.8478194124
2024-10-08,1551293.551188553
2024-10-17,1569903.6245528108
2024-10-18,1574914.8226118928
2024-10-21,1570984.2174483186
2024-10-22,1563003.6637984163
2024-10-23,1569982.7342329866
2024-10-24,1576623.7678633577
2024-10-25,1579715.128581131
2024-10-28,1588727.0161543733
2024-10-29,1590793.2998457795
2024-10-30,1592274.4509688264
2024-10-31,1586525.0001021272
2024-11-01,1592135.1243086702
2024-11-04,1592994.0126753694
2024-11-05,1590919.3324995881
2024-11-06,1590371.6323042756
2024-11-07,1584472.4009199983
2024-11-08,1567782.6506003267
2024-11-11,1568912.9933737642
2024-11-12,1569053.5943259127
2024-11-13,1567225.595668686
2024-11-14,1567577.1313132173
2024-11-18,1567198.558559311
2024-11-19,1566728.043666733
2024-11-21,1566884.8908347017
2024-11-22,1569859.438564194
2024-11-25,1572336.420986069
2024-11-26,1572769.0812643892
2024-11-27,1572309.3705710298
2024-11-28,1570757.198329819
2024-11-29,1572244.478847397
2024-12-02,1572736.6287497408
