Date,Ticker,Action,Reason,Entry Price,Exit Price,Peak Price,PnL %,Days Held
2023-10-20,LAURUS LABS LIMITED,BUY,STREAK_5,398.9287,,398.9287,,
2023-10-27,GAIL (INDIA) LIMITED,SELL,TSL_EXIT,93.2477,106.5366,118.384,14.25,217.0
2023-10-27,J. K. CEMENT LIMITED.,SELL,TSL_EXIT,2889.5481,3054.158,3396.9946,5.7,210.0
2023-10-27,INDIAN OIL CORPORATION LIMITED,SELL,TSL_EXIT,74.9088,74.433,82.9229,-0.64,154.0
2023-10-27,RBL BANK LIMITED,SELL,TSL_EXIT,230.1451,223.9118,253.0144,-2.71,91.0
2023-10-27,CHENNAI PETROLEUM CORPORATION LIMITED,SELL,TSL_EXIT,479.8296,503.1063,562.309,4.85,28.0
2023-10-27,GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED,SELL,TSL_EXIT,391.1084,352.5235,398.5193,-9.87,14.0
2023-10-27,LAURUS LABS LIMITED,SELL,TSL_EXIT,398.9287,355.0013,398.9287,-11.01,7.0
2023-10-27,BSE Limited,BUY,STREAK_5,615.6374,,615.6374,,
2023-10-27,Solar Industries India Limited,BUY,STREAK_5,5230.6899,,5230.6899,,
2023-10-27,MAX HEALTHCARE INSTITUTE LIMITED,BUY,STREAK_5,562.1774,,562.1774,,
2023-11-03,BIRLASOFT LIMITED,BUY,STREAK_5,568.8834,,568.8834,,
2023-11-03,KALYAN JEWELLERS INDIA LIMITED,BUY,STREAK_5,303.0818,,303.0818,,
2023-11-10,PRESTIGE ESTATES PROJECTS LIMITED,BUY,STREAK_5,871.3107,,871.3107,,
2023-11-10,RADICO KHAITAN LIMITED,BUY,STREAK_5,1389.752,,1389.752,,
2023-12-01,Solar Industries India Limited,SELL,TSL_EXIT,5230.6899,6180.4668,7380.6084,18.16,35.0
2023-12-01,BALRAMPUR CHINI MILLS LTD,BUY,STREAK_7,465.2321,,465.2321,,
2023-12-08,BALRAMPUR CHINI MILLS LTD,SELL,TSL_EXIT,465.2321,387.4796,465.2321,-16.71,7.0
2023-12-08,CITY UNION BANK LIMITED,BUY,STREAK_7,152.9352,,152.9352,,
2023-12-22,MAX HEALTHCARE INSTITUTE LIMITED,SELL,TSL_EXIT,562.1774,647.0325,720.8195,15.09,56.0
2023-12-22,CITY UNION BANK LIMITED,SELL,TSL_EXIT,152.9352,143.7571,162.2114,-6.0,14.0
2023-12-22,BAJAJ AUTO LIMITED.,BUY,STREAK_7,6164.4971,,6164.4971,,
2023-12-22,ALKEM LABORATORIES LIMITED,BUY,STREAK_6,4792.894,,4792.894,,
2023-12-29,BSE Limited,SELL,TSL_EXIT,615.6374,734.0261,830.0918,19.23,63.0
2023-12-29,JSW STEEL LIMITED,BUY,STREAK_7,871.0626,,871.0626,,
2024-01-05,GODAWARI POWER AND ISPAT LIMITED,SELL,TSL_EXIT,571.8654,152.7892,748.2756,-73.28,147.0
2024-01-05,RELIANCE INDUSTRIES LIMITED,BUY,STREAK_7,1294.2705,,1294.2705,,
2024-01-12,POLYCAB INDIA LIMITED,SELL,TSL_EXIT,2967.436,3940.606,5634.3369,32.79,329.0
2024-01-12,GRAVITA INDIA LIMITED,SELL,TSL_EXIT,796.7258,1007.7987,1140.636,26.49,119.0
2024-01-12,VEDANTA LIMITED,BUY,STREAK_7,231.4426,,231.4426,,
2024-01-12,TORRENT PHARMACEUTICALS LTD,BUY,STREAK_5,2403.1814,,2403.1814,,
2024-01-19,EICHER MOTORS LIMITED,SELL,TSL_EXIT,3398.6851,3612.0732,4081.615,6.28,91.0
2024-01-19,TATA CONSUMER PRODUCTS LIMITED,BUY,STREAK_5,1145.2577,,1145.2577,,
2024-01-26,PRESTIGE ESTATES PROJECTS LIMITED,SELL,TSL_EXIT,871.3107,1202.1621,1377.6417,37.97,77.0
2024-01-26,NBCC (INDIA) LIMITED,BUY,STREAK_5,75.2209,,75.2209,,
2024-02-02,KALYAN JEWELLERS INDIA LIMITED,SELL,TSL_EXIT,303.0818,346.1091,388.6888,14.2,91.0
2024-02-02,PETRONET LNG LIMITED,BUY,STREAK_6,252.5798,,252.5798,,
2024-02-09,NBCC (INDIA) LIMITED,SELL,TSL_EXIT,75.2209,97.0264,110.6016,28.99,14.0
2024-02-09,OLECTRA GREENTECH LIMITED,BUY,STREAK_6,1998.7961,,1998.7961,,
2024-03-01,GLOBAL HEALTH LIMITED,SELL,TSL_EXIT,559.1987,1298.1827,1486.515,132.15,287.0
2024-03-01,REDINGTON LIMITED,BUY,STREAK_8,200.646,,200.646,,
2024-03-08,RADICO KHAITAN LIMITED,SELL,TSL_EXIT,1389.752,1559.0601,1739.3829,12.18,119.0
2024-03-08,OLECTRA GREENTECH LIMITED,SELL,TSL_EXIT,1998.7961,1896.4949,2134.0818,-5.12,28.0
2024-03-08,ZYDUS LIFESCIENCES LIMITED,BUY,STREAK_8,963.2852,,963.2852,,
2024-03-08,NATIONAL ALUMINIUM CO LTD,BUY,STREAK_7,149.5192,,149.5192,,
2024-03-15,REC LIMITED,SELL,TSL_EXIT,92.9903,402.3058,459.1797,332.63,462.0
2024-03-15,SONATA SOFTWARE LIMITED,SELL,TSL_EXIT,380.8448,711.4316,834.1207,86.8,378.0
2024-03-15,LIC HOUSING FINANCE LTD,SELL,TSL_EXIT,446.5135,566.9059,639.1995,26.96,175.0
2024-03-15,CHOICE INTERNATIONAL LIMITED,SELL,TSL_EXIT,210.575,250.9,289.55,19.15,168.0
2024-03-15,BIRLASOFT LIMITED,SELL,TSL_EXIT,568.8834,736.4879,831.7041,29.46,133.0
2024-03-15,JSW STEEL LIMITED,SELL,TSL_EXIT,871.0626,772.5022,871.0626,-11.31,77.0
2024-03-15,NATIONAL ALUMINIUM CO LTD,SELL,TSL_EXIT,149.5192,124.9658,149.5192,-16.42,7.0
2024-03-15,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,BUY,STREAK_7,566.4117,,566.4117,,
2024-03-15,KALPATARU PROJECTS INTERNATIONAL LIMITED,BUY,STREAK_6,1015.5403,,1015.5403,,
2024-03-15,PIDILITE INDUSTRIES LIMITED,BUY,STREAK_6,1417.052,,1417.052,,
2024-03-15,TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED,BUY,STREAK_5,164.5318,,164.5318,,
