date,equity,regime,n_holdings
2022-08-12,1374660.4868246529,PARTIAL,3
2022-08-16,1388372.9660660091,BULL,5
2022-08-17,1401319.7742340122,BULL,5
2022-08-18,1402250.6963196488,BULL,5
2022-08-19,1376451.292709685,BULL,5
2022-08-22,1354785.3914437802,BULL,5
2022-08-23,1373748.4796471072,BULL,5
2022-08-24,1379587.7612645938,BULL,5
2022-08-25,1393354.1780917966,BULL,5
2022-08-26,1398760.7925845992,BULL,5
2022-08-29,1391394.0140309012,BULL,5
2022-08-30,1423394.9717169832,BULL,5
2022-09-01,1426740.376783639,BULL,5
2022-09-02,1423288.9912431773,BULL,5
2022-09-05,1430217.4697701673,BULL,5
2022-09-06,1430461.093223881,BULL,5
2022-09-07,1426892.680608712,BULL,5
2022-09-08,1446349.4184289877,BULL,5
2022-09-09,1450007.2741183355,BULL,5
2022-09-12,1460226.6862560492,BULL,5
2022-09-13,1465154.3352012865,BULL,5
2022-09-14,1474891.3330324139,BULL,5
2022-09-15,1475246.8379554816,BULL,5
2022-09-16,1441643.659331264,BULL,5
2022-09-19,1458845.7985457827,BULL,5
2022-09-20,1474171.607274102,BULL,5
2022-09-21,1470079.776300138,BULL,5
2022-09-22,1475503.795842612,BULL,5
2022-09-23,1440775.5944394039,BULL,5
2022-09-26,1396855.1869456228,BULL,5
2022-09-27,1394595.135748555,BULL,5
2022-09-28,1381013.076536913,BULL,5
2022-09-29,1389213.4213979123,BULL,5
2022-09-30,1412492.990062443,BULL,5
2022-10-03,1382651.8274009486,PARTIAL,3
2022-10-04,1400909.9395796813,PARTIAL,3
2022-10-06,1398962.9336828259,PARTIAL,3
2022-10-07,1400338.8110259566,PARTIAL,3
2022-10-10,1389598.154215787,BULL,5
2022-10-11,1367368.8782702305,BULL,5
2022-10-12,1382149.8958526254,BULL,5
2022-10-13,1371681.774807068,BULL,5
2022-10-14,1370523.5908578045,BULL,5
2022-10-17,1390399.3168901498,PARTIAL,3
2022-10-18,1409509.4058713466,PARTIAL,3
2022-10-19,1408132.1880228317,PARTIAL,3
2022-10-20,1417798.110953561,PARTIAL,3
2022-10-21,1422380.1866578602,PARTIAL,3
2022-10-24,1429128.2135797874,BULL,5
2022-10-25,1443560.6152826739,BULL,5
2022-10-27,1449957.4639573598,BULL,5
2022-10-28,1444928.4058283237,BULL,5
2022-10-31,1457545.2935461982,BULL,5
2022-11-01,1457010.3002618405,BULL,5
2022-11-02,1447643.4906880003,BULL,5
2022-11-03,1465101.8702147966,BULL,5
2022-11-04,1469276.3454894684,BULL,5
2022-11-07,1504204.1827070978,BULL,5
2022-11-09,1529831.7249696443,BULL,5
2022-11-10,1514776.5262197151,BULL,5
2022-11-11,1514634.940888418,BULL,5
2022-11-14,1504055.0206144569,BULL,5
2022-11-15,1510796.3867673145,BULL,5
2022-11-16,1513427.726576233,BULL,5
2022-11-17,1515124.7773573445,BULL,5
2022-11-18,1522762.515707916,BULL,5
2022-11-21,1531950.94964205,BULL,5
2022-11-22,1542759.586930526,BULL,5
2022-11-23,1551981.6265553918,BULL,5
2022-11-24,1565190.7023250188,BULL,5
2022-11-25,1565305.2911860296,BULL,5
2022-11-28,1567983.6032646575,BULL,5
2022-11-29,1572960.29027668,BULL,5
2022-11-30,1568885.343112267,BULL,5
2022-12-01,1583395.3893733558,BULL,5
2022-12-02,1585327.5122484977,BULL,5
2022-12-05,1595308.5473082191,BULL,5
2022-12-06,1605874.1194716815,BULL,5
2022-12-07,1601311.0764549684,BULL,5
2022-12-08,1642472.6767470397,BULL,5
2022-12-09,1627514.31814727,BULL,5
2022-12-12,1637736.4373227411,BULL,5
2022-12-13,1675742.585028117,BULL,5
2022-12-14,1685890.2164860403,BULL,5
2022-12-15,1660652.7447770592,BULL,5
2022-12-16,1629620.4612262805,BULL,5
2022-12-19,1636178.937220163,BULL,5
2022-12-20,1624823.050280872,BULL,5
2022-12-21,1594678.6302544123,BULL,5
2022-12-22,1570806.9096527137,BULL,5
2022-12-23,1511096.844232075,BULL,5
2022-12-26,1585463.1828053412,BEAR,0
2022-12-27,1585550.0575002895,BEAR,0
2022-12-28,1585636.936955495,BEAR,0
2022-12-29,1585723.8211712188,BEAR,0
2022-12-30,1585810.7101477215,BEAR,0
2023-01-02,1585837.6038852641,PARTIAL,3
2023-01-03,1594556.7218617788,PARTIAL,3
2023-01-04,1583219.894826369,PARTIAL,3
2023-01-05,1576227.4843714535,PARTIAL,3
2023-01-06,1572190.0207149107,PARTIAL,3
2023-01-09,1583518.3538395637,BEAR,0
2023-01-10,1583605.1219685413,BEAR,0
2023-01-11,1583691.894851937,BEAR,0
2023-01-12,1583778.6724900112,BEAR,0
2023-01-13,1583865.4548830246,BEAR,0
2023-01-16,1583892.2420312376,PARTIAL,3
2023-01-17,1575998.5178211872,PARTIAL,3
2023-01-18,1563863.949549498,PARTIAL,3
2023-01-19,1559602.312305695,PARTIAL,3
2023-01-20,1568325.2517603477,PARTIAL,3
2023-01-23,1573169.792246673,PARTIAL,3
2023-01-24,1565812.5772154739,PARTIAL,3
2023-01-25,1545390.0245694579,PARTIAL,3
2023-01-27,1528118.8187693972,PARTIAL,3
2023-01-30,1512075.5408080004,BEAR,0
2023-01-31,1512158.3942622913,BEAR,0
2023-02-01,1512241.2522564975,BEAR,0
2023-02-02,1512324.1147908678,BEAR,0
2023-02-03,1512406.981865651,BEAR,0
2023-02-06,1512489.8534810957,BEAR,0
2023-02-07,1512572.729637451,BEAR,0
2023-02-08,1512655.6103349654,BEAR,0
2023-02-09,1512738.495573888,BEAR,0
2023-02-10,1512821.3853544677,BEAR,0
2023-02-13,1512904.2796769529,BEAR,0
2023-02-14,1512987.1785415928,BEAR,0
2023-02-15,1513070.0819486363,BEAR,0
2023-02-16,1513152.9898983322,BEAR,0
2023-02-17,1513235.9023909294,BEAR,0
2023-02-20,1513318.819426677,BEAR,0
2023-02-21,1513401.7410058237,BEAR,0
2023-02-22,1513484.6671286186,BEAR,0
2023-02-23,1513567.5977953107,BEAR,0
2023-02-24,1513650.5330061489,BEAR,0
2023-02-27,1513733.472761382,BEAR,0
2023-02-28,1513816.4170612595,BEAR,0
2023-03-01,1513899.3659060302,BEAR,0
2023-03-02,1513982.319295943,BEAR,0
2023-03-03,1514065.277231247,BEAR,0
2023-03-06,1514148.2397121913,BEAR,0
2023-03-08,1514231.206739025,BEAR,0
2023-03-09,1514314.178311997,BEAR,0
2023-03-10,1514397.1544313568,BEAR,0
2023-03-13,1514480.1350973533,BEAR,0
2023-03-14,1514563.1203102353,BEAR,0
2023-03-15,1514646.1100702523,BEAR,0
2023-03-16,1514729.1043776534,BEAR,0
2023-03-17,1514812.103232688,BEAR,0
2023-03-20,1514895.106635605,BEAR,0
2023-03-21,1514978.1145866537,BEAR,0
2023-03-22,1515061.1270860832,BEAR,0
2023-03-23,1515144.144134143,BEAR,0
2023-03-24,1515227.165731082,BEAR,0
2023-03-27,1515310.1918771495,BEAR,0
2023-03-28,1515393.2225725949,BEAR,0
2023-03-29,1515476.2578176674,BEAR,0
2023-03-31,1515559.2976126166,BEAR,0
2023-04-03,1515642.3419576914,BEAR,0
2023-04-05,1515725.3908531412,BEAR,0
2023-04-06,1515808.4442992155,BEAR,0
2023-04-10,1515891.5022961635,BEAR,0
2023-04-11,1515974.5648442346,BEAR,0
2023-04-12,1516057.6319436783,BEAR,0
2023-04-13,1516140.7035947437,BEAR,0
2023-04-17,1516163.7797976802,PARTIAL,3
2023-04-18,1510513.1369748334,PARTIAL,3
2023-04-19,1502424.88105962,PARTIAL,3
2023-04-20,1513210.6960216528,PARTIAL,3
2023-04-21,1508851.1698825615,PARTIAL,3
2023-04-24,1508285.8061768492,BEAR,0
2023-04-25,1508368.451974448,BEAR,0
2023-04-26,1508451.1023005839,BEAR,0
2023-04-27,1508533.7571555045,BEAR,0
2023-04-28,1508616.4165394583,BEAR,0
2023-05-02,1508639.0804526936,PARTIAL,3
2023-05-03,1520168.488733042,PARTIAL,3
2023-05-04,1525764.0260654276,PARTIAL,3
2023-05-05,1527747.2580023746,PARTIAL,3
2023-05-08,1526603.6936250464,PARTIAL,3
2023-05-09,1527301.2155208313,PARTIAL,3
2023-05-10,1530832.1665192689,PARTIAL,3
2023-05-11,1525045.4237982375,PARTIAL,3
2023-05-12,1507223.084787576,PARTIAL,3
2023-05-15,1512880.195699913,BULL,5
2023-05-16,1511357.5536387332,BULL,5
2023-05-17,1506845.9095181157,BULL,5
2023-05-18,1495421.312252456,BULL,5
2023-05-19,1500705.6657549352,BULL,5
2023-05-22,1504085.464526548,BULL,5
2023-05-23,1494063.002813956,BULL,5
2023-05-24,1501757.6608958053,BULL,5
2023-05-25,1499526.004641604,BULL,5
2023-05-26,1504381.4307595158,BULL,5
2023-05-29,1508586.4729078338,BULL,5
2023-05-30,1511291.4881322803,BULL,5
2023-05-31,1505940.7973703272,BULL,5
2023-06-01,1502859.1476586605,BULL,5
2023-06-02,1513492.055812975,BULL,5
2023-06-05,1507946.9643127748,BULL,5
2023-06-06,1511038.953596453,BULL,5
2023-06-07,1518727.725559768,BULL,5
2023-06-08,1517969.0915911891,BULL,5
2023-06-09,1527529.5200718753,BULL,5
2023-06-12,1527589.5753157442,BULL,5
2023-06-13,1533467.181069002,BULL,5
2023-06-14,1536816.125901572,BULL,5
2023-06-15,1537655.1786659034,BULL,5
2023-06-16,1546272.7607572752,BULL,5
2023-06-19,1540756.1133217236,BULL,5
2023-06-20,1547621.2599444976,BULL,5
2023-06-21,1553321.9492985585,BULL,5
2023-06-22,1542436.4974623506,BULL,5
2023-06-23,1528459.3622063997,BULL,5
2023-06-26,1533891.7646168296,BULL,5
2023-06-27,1537979.8849923871,BULL,5
2023-06-28,1547327.306752329,BULL,5
2023-06-30,1567389.1244170063,BULL,5
2023-07-03,1573684.535547042,BULL,5
2023-07-04,1571441.3937759355,BULL,5
2023-07-05,1586989.1708401388,BULL,5
2023-07-06,1604835.827441582,BULL,5
2023-07-07,1597118.7312057763,BULL,5
2023-07-10,1582971.9117472016,BULL,5
2023-07-11,1601145.0368463076,BULL,5
2023-07-12,1600933.9518184427,BULL,5
2023-07-13,1588861.363276931,BULL,5
2023-07-14,1602325.4757087107,BULL,5
2023-07-17,1599212.0018563366,BULL,5
2023-07-18,1595508.4009626857,BULL,5
2023-07-19,1607163.7632579997,BULL,5
2023-07-20,1617661.6961825676,BULL,5
2023-07-21,1616754.2813280832,BULL,5
2023-07-24,1616758.1959925327,BULL,5
2023-07-25,1614608.303620059,BULL,5
2023-07-26,1627893.6232253578,BULL,5
2023-07-27,1622372.0078979952,BULL,5
2023-07-28,1631055.4422780285,BULL,5
2023-07-31,1644527.734260814,BULL,5
2023-08-01,1643096.5452741906,BULL,5
2023-08-02,1623535.7560933912,BULL,5
2023-08-03,1614977.3598394063,BULL,5
2023-08-04,1622828.002906253,BULL,5
2023-08-07,1624355.4810849782,BULL,5
2023-08-08,1621661.489132548,BULL,5
2023-08-09,1629226.379285513,BULL,5
2023-08-10,1623863.709866069,BULL,5
2023-08-11,1617501.978350865,BULL,5
2023-08-14,1610120.0934007536,BULL,5
2023-08-16,1616690.3301811023,BULL,5
2023-08-17,1633669.516372323,BULL,5
2023-08-18,1613946.1793165847,BULL,5
2023-08-21,1624769.47180599,BULL,5
2023-08-22,1633569.292011458,BULL,5
2023-08-23,1644115.5325902628,BULL,5
2023-08-24,1639366.5214260998,BULL,5
2023-08-25,1624477.765021093,BULL,5
2023-08-28,1634774.9970910193,BULL,5
2023-08-29,1640263.9175151193,BULL,5
2023-08-30,1647107.2327969559,BULL,5
2023-08-31,1652455.6510840922,BULL,5
2023-09-01,1663424.2510455989,BULL,5
2023-09-04,1674281.365954331,BULL,5
2023-09-05,1686537.282163907,BULL,5
2023-09-06,1689212.1420581162,BULL,5
2023-09-07,1699150.850975919,BULL,5
2023-09-08,1711204.7771513106,BULL,5
2023-09-11,1731169.305948305,BULL,5
2023-09-12,1690022.9128673146,BULL,5
2023-09-13,1698734.059483964,BULL,5
2023-09-14,1714598.7982994223,BULL,5
