date,equity
28-09-2023,1628149.8726282183
29-09-2023,1652379.0812572986
03-10-2023,1645369.8198758862
04-10-2023,1621697.450270486
05-10-2023,1622888.2996265006
06-10-2023,1629295.9464419782
09-10-2023,1602224.276278809
10-10-2023,1624727.4924413115
11-10-2023,1631302.7333365835
12-10-2023,1637705.8080760918
13-10-2023,1634648.0980816076
16-10-2023,1640395.059
17-10-2023,1650459.742909259
18-10-2023,1637008.072
19-10-2023,1634500.4257350925
20-10-2023,1618896.703086572
23-10-2023,1576496.4815113544
25-10-2023,1565740.006345267
26-10-2023,1555722.6108060912
27-10-2023,1575404.6868030534
30-10-2023,1579945.0382755157
31-10-2023,1580917.518996336
01-11-2023,1574967.9166893116
02-11-2023,1583493.0750715295
03-11-2023,1592547.5074568538
06-11-2023,1603500.8487871503
07-11-2023,1605743.4096020237
08-11-2023,1613284.472817381
09-11-2023,1612889.311842227
10-11-2023,1617553.4536287677
13-11-2023,1629442.251200065
15-11-2023,1641204.9143451867
16-11-2023,1647732.275173908
17-11-2023,1648005.5207536293
20-11-2023,1648991.7760511348
21-11-2023,1649915.2008554828
22-11-2023,1648208.770510912
23-11-2023,1653005.1872199792
24-11-2023,1653313.2533628996
28-11-2023,1656941.042117266
29-11-2023,1661869.1433365832
30-11-2023,1671919.3273499864
01-12-2023,1681394.2286088231
04-12-2023,1712487.856806317
05-12-2023,1726286.5000845308
06-12-2023,1727827.9680416987
07-12-2023,1739666.7855540283
08-12-2023,1730019.4428494314
11-12-2023,1739920.4468352918
12-12-2023,1730287.4288866124
13-12-2023,1746717.319926179
14-12-2023,1762262.5419360602
15-12-2023,1776168.2906583163
18-12-2023,1782218.2260777887
19-12-2023,1779580.3144030464
20-12-2023,1736918.6754867176
21-12-2023,1754116.334532807
22-12-2023,1771687.472771304
26-12-2023,1786211.496862725
27-12-2023,1792979.2015096592
28-12-2023,1811531.2320056355
29-12-2023,1818538.7769514725
01-01-2024,1824702.2880273398
02-01-2024,1821445.550256926
03-01-2024,1821502.7270398377
04-01-2024,1842279.817165903
05-01-2024,1846950.248829533
08-01-2024,1837234.5278501317
09-01-2024,1843999.721949224
10-01-2024,1837823.2638815804
11-01-2024,1842420.2839159453
12-01-2024,1854096.7990125392
15-01-2024,1873612.7007080696
16-01-2024,1872047.0075664453
17-01-2024,1856572.6400185714
18-01-2024,1849706.311552716
19-01-2024,1880136.197516466
23-01-2024,1840034.2024424316
24-01-2024,1876747.9886560922
25-01-2024,1882362.2631406153
29-01-2024,1935057.8547308804
30-01-2024,1920130.8609379893
31-01-2024,1931801.6697197622
01-02-2024,1930288.4821537167
02-02-2024,1963294.9597066317
05-02-2024,1969972.3139498096
06-02-2024,1989999.4775811436
07-02-2024,2000582.3970797583
08-02-2024,2009720.252131721
09-02-2024,1994824.7041168683
12-02-2024,1958296.8881237046
13-02-2024,1969869.2722541632
14-02-2024,1997492.1793223745
15-02-2024,2030370.6005055297
16-02-2024,2041947.8190401287
19-02-2024,2044662.2618847126
20-02-2024,2048187.9748448215
21-02-2024,2025443.2555085164
22-02-2024,2048272.5672692563
23-02-2024,2053711.9549327686
26-02-2024,2051203.2156501126
27-02-2024,2051524.153248824
28-02-2024,2022418.2546929538
29-02-2024,2033473.4722680019
01-03-2024,2060538.8528917606
04-03-2024,2091728.5004584093
05-03-2024,2100463.6153412154
06-03-2024,2098772.256445266
07-03-2024,2108426.8166776085
11-03-2024,2093516.126965224
12-03-2024,2066487.5768424873
13-03-2024,1987782.7732668207
14-03-2024,2011814.3333975803
15-03-2024,1996969.0989631081
18-03-2024,2001911.5830955491
19-03-2024,1977686.694139819
20-03-2024,1983645.1121198977
21-03-2024,2012624.6345276171
22-03-2024,2024503.7726250538
26-03-2024,2032874.914520645
27-03-2024,2039976.0956180817
28-03-2024,2057656.9414543356
01-04-2024,2078027.219488952
02-04-2024,2090389.4903297513
03-04-2024,2090654.6969278774
04-04-2024,2085731.620667944
05-04-2024,2087371.3078565644
08-04-2024,2102239.6082799174
09-04-2024,2097531.1908606836
10-04-2024,2109016.233335928
12-04-2024,2095185.3193593866
15-04-2024,2071178.5586588983
16-04-2024,2109808.873379695
18-04-2024,2061635.7134903532
19-04-2024,2059474.2655788946
22-04-2024,2084271.9201301783
23-04-2024,2089934.0246817165
24-04-2024,2097842.5029805396
25-04-2024,2117513.554283288
26-04-2024,2124232.978715289
29-04-2024,2130783.806621459
30-04-2024,2145717.2787055722
02-05-2024,2168557.044395098
03-05-2024,2171042.2917831065
06-05-2024,2141863.4208820267
07-05-2024,2101246.101166778
08-05-2024,2129482.099930857
09-05-2024,2098250.536413946
10-05-2024,2117621.1901280843
13-05-2024,2116020.3443996804
14-05-2024,2147905.5809877645
15-05-2024,2158246.5076167653
16-05-2024,2175976.0682502147
17-05-2024,2202919.696356983
21-05-2024,2247314.8367769457
22-05-2024,2254419.2964018616
23-05-2024,2271686.8951392258
24-05-2024,2286880.9914840637
27-05-2024,2281463.9122348153
28-05-2024,2264547.1048064455
29-05-2024,2257559.488895494
30-05-2024,2233530.208318739
31-05-2024,2241300.157452665
03-06-2024,2337925.569052096
04-06-2024,2292362.447653663
05-06-2024,2274527.7540028607
06-06-2024,2307100.0272869216
07-06-2024,2342538.2827307954
10-06-2024,2340318.031139036
11-06-2024,2344557.9247902925
12-06-2024,2356815.320921194
13-06-2024,2371403.2339090467
14-06-2024,2394135.628121152
18-06-2024,2401921.024499893
19-06-2024,2380605.3150387895
20-06-2024,2388422.9726558104
21-06-2024,2378293.1895891116
24-06-2024,2382639.0589115764
25-06-2024,2376097.2053546878
