ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_days,pnl_pct,pnl_rs
AVANTIFEED,signal_reversal,2025-03-11,790.13,2025-04-04,731.6,171,17,-7.41,-10008.63
MUTHOOTFIN,signal_reversal,2025-03-05,2107.91,2025-04-11,2056.38,64,25,-2.44,-3297.92
AXISCADES,signal_reversal,2025-03-19,937.0,2025-04-11,792.2,145,16,-15.45,-20996.0
SHREECEM,signal_reversal,2025-05-15,30762.25,2025-06-02,29566.1,4,13,-3.89,-4784.6
KOTAKBANK,signal_reversal,2025-03-24,418.79,2025-06-04,408.24,330,48,-2.52,-3481.5
UPL,signal_reversal,2025-04-25,671.05,2025-06-05,634.79,203,29,-5.4,-7360.78
KSCL,signal_reversal,2025-03-20,1164.99,2025-06-16,1298.3,117,58,11.44,15597.27
SUNDARMFIN,signal_reversal,2025-04-23,5264.75,2025-06-19,4740.16,25,41,-9.96,-13114.75
PTC,signal_reversal,2025-06-09,146.74,2025-06-20,142.55,924,10,-2.86,-3871.56
COALINDIA,signal_reversal,2025-06-11,368.89,2025-06-20,354.23,371,8,-3.97,-5438.86
BERGEPAINT,signal_reversal,2025-04-30,538.25,2025-06-23,520.94,251,38,-3.22,-4344.81
SBFC,signal_reversal,2025-06-12,112.4,2025-06-23,102.0,1218,8,-9.25,-12667.2
AXISBANK,signal_reversal,2025-05-29,1198.05,2025-07-04,1173.1,112,27,-2.08,-2794.4
SOLARINDS,signal_reversal,2025-06-24,17169.57,2025-07-11,15895.61,7,14,-7.42,-8917.72
BAJFINANCE,signal_reversal,2025-03-18,847.56,2025-07-16,918.35,161,82,8.35,11397.19
CHOLAHLDNG,signal_reversal,2025-05-21,1849.46,2025-07-16,2067.94,72,41,11.81,15730.56
HDFCLIFE,signal_reversal,2025-05-09,704.53,2025-07-18,752.32,190,51,6.78,9080.1
GLAXO,signal_reversal,2025-06-02,3216.13,2025-07-22,3056.2,42,37,-4.97,-6717.06
