ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_days,pnl_pct,pnl_rs
GLENMARK,open_at_backtest_end,2026-03-12,2273.2,2026-08-11,2251.3,77,105,-0.96,-1686.3
AUROPHARMA,open_at_backtest_end,2026-03-13,1304.3,2026-08-11,1648.0,134,104,26.35,46055.8
PIRAMALFIN,open_at_backtest_end,2026-03-17,1779.9,2026-08-11,2109.7,95,102,18.53,31331.0
UTLSOLAR,open_at_backtest_end,2026-04-01,202.56,2026-08-11,389.95,825,93,92.51,154596.75
CEMPRO,open_at_backtest_end,2026-05-01,813.17,2026-08-11,1208.1,232,73,48.57,91623.76
VIYASH,open_at_backtest_end,2026-05-21,256.8,2026-08-11,273.65,749,59,6.56,12620.65
SUPRIYA,open_at_backtest_end,2026-05-25,775.8,2026-08-11,923.45,246,57,19.03,36321.9
NSLNISP,open_at_backtest_end,2026-06-02,50.7,2026-08-11,44.67,3846,51,-11.89,-23191.38
NYKAA,open_at_backtest_end,2026-06-19,299.2,2026-08-11,323.7,661,38,8.19,16194.5
ASKAUTOLTD,open_at_backtest_end,2026-07-27,512.13,2026-08-11,655.6,387,12,28.01,55522.89
APLAPOLLO,open_at_backtest_end,2026-08-11,2027.0,2026-08-11,2027.0,100,1,0.0,0.0
M&M,open_at_backtest_end,2026-08-11,3505.4,2026-08-11,3505.4,57,1,0.0,0.0
