ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_weeks,pnl_pct,pnl_rs
HSCL,open_at_backtest_end,2026-05-01,576.22,2026-08-14,752.65,332,16,30.62,58574.76
TIPSMUSIC,open_at_backtest_end,2026-05-01,670.0,2026-08-14,645.35,286,16,-3.68,-7049.9
HFCL,open_at_backtest_end,2026-05-08,122.35,2026-08-14,207.98,1589,15,69.99,136066.07
SKYGOLD,open_at_backtest_end,2026-05-15,501.95,2026-08-14,719.4,393,14,43.32,85457.85
RRKABEL,open_at_backtest_end,2026-05-15,1937.42,2026-08-14,2759.5,102,14,42.43,83852.16
VIJAYA,open_at_backtest_end,2026-05-15,1280.0,2026-08-14,1351.1,154,14,5.55,10949.4
GLAND,open_at_backtest_end,2026-05-29,2352.03,2026-08-14,2581.5,82,12,9.76,18816.54
MARKSANS,open_at_backtest_end,2026-06-05,249.0,2026-08-14,273.85,807,11,9.98,20053.95
ASKAUTOLTD,open_at_backtest_end,2026-08-14,648.95,2026-08-14,648.95,330,1,0.0,0.0
RBA,open_at_backtest_end,2026-08-14,95.05,2026-08-14,95.05,2256,1,0.0,0.0
