TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,ENTRY_PRICE,EXIT_PRICE,SHARES,NET_PNL,REGIME
BUY,"NEW BUY (rank=3, cutoff=57)",MOM100,MOM100,2023-07-24,,39.15,,9641.6941,,RISK-ON
SELL,Rank 67 > 57,FMCGIETF,FMCGIETF,2023-05-15,2023-09-11,50.99,53.76,7013.104,19406.3,RISK-ON
BUY,"NEW BUY (rank=4, cutoff=57)",HDFCSML250,HDFCSML250,2023-09-11,,124.66,,3290.1404,,RISK-ON
SELL,TSL 5.5% >= 5%,MOM100,MOM100,2023-07-24,2023-10-30,39.15,41.35,9641.6941,21191.73,RISK-OFF
BUY,"NEW BUY (rank=2, cutoff=57)",MIDCAPIETF,MIDCAPIETF,2023-11-13,,156.42,,2656.6974,,RISK-ON
SELL,TSL 7.2% >= 5%,ICICIB22,ICICIB22,2022-07-11,2024-03-18,47.63,97.22,6739.0144,334167.73,RISK-ON
SELL,TSL 9.1% >= 5%,CPSEETF,CPSEETF,2023-05-22,2024-03-18,42.45,76.54,8373.1147,285419.48,RISK-ON
SELL,Rank 75 > 57 | TSL 8.5% >= 5%,HDFCSML250,HDFCSML250,2023-09-11,2024-03-18,124.66,139.67,3290.1404,49365.01,RISK-ON
SELL,Rank 66 > 57,MIDCAPIETF,MIDCAPIETF,2023-11-13,2024-03-18,156.42,176.2,2656.6974,52529.47,RISK-ON
BUY,"NEW BUY (rank=1, cutoff=57)",ALPL30IETF,ALPL30IETF,2024-03-18,,26.29,,19574.5504,,RISK-ON
BUY,"NEW BUY (rank=2, cutoff=57)",JUNIORBEES,JUNIORBEES,2024-03-18,,621.81,,827.608,,RISK-ON
BUY,"NEW BUY (rank=3, cutoff=57)",INFRABEES,INFRABEES,2024-03-18,,832.32,,618.2898,,RISK-ON
BUY,"NEW BUY (rank=4, cutoff=57)",MOMENTUM,MOMENTUM,2024-03-18,,29.98,,17165.2745,,RISK-ON
SELL,Rank 62 > 57,INFRABEES,INFRABEES,2024-03-18,2024-04-29,832.32,886.75,618.2898,33633.51,RISK-ON
BUY,"NEW BUY (rank=4, cutoff=57)",MAKEINDIA,MAKEINDIA,2024-04-29,,131.0,,4216.1111,,RISK-ON
SELL,Rank 58 > 57,ALPL30IETF,ALPL30IETF,2024-03-18,2024-06-24,26.29,28.47,19574.5504,42652.52,RISK-ON
BUY,"NEW BUY (rank=3, cutoff=57)",AUTOBEES,AUTOBEES,2024-06-24,,257.7,,2376.0461,,RISK-ON
SELL,Rank 62 > 57,MOMENTUM,MOMENTUM,2024-03-18,2024-07-29,29.98,36.89,17165.2745,118592.05,RISK-ON
BUY,"NEW BUY (rank=1, cutoff=57)",CONSUMBEES,CONSUMBEES,2024-07-29,,129.57,,4895.2328,,RISK-ON
SELL,Rank 64 > 57,JUNIORBEES,JUNIORBEES,2024-03-18,2024-09-02,621.81,802.49,827.608,149512.21,RISK-ON
