TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,ENTRY_PRICE,EXIT_PRICE,SHARES,NET_PNL,REGIME
SELL,Regime slot reduction / sector cap / rank cut,MIDCAPIETF,MIDCAPIETF,2020-10-05,2021-02-01,65.4,81.49,2697.7625,43387.0,PARTIAL
SELL,Regime slot reduction / sector cap / rank cut,NV20BEES,NV20BEES,2020-09-07,2021-02-01,59.52,76.5,2917.6197,49521.18,PARTIAL
SELL,Rank 51 > 40 | TSL 7.5% >= 5%,GOLDBETA,GOLDBETA,2020-10-05,2021-02-08,45.72,42.72,3859.0042,-11597.01,BULL
BUY,NEW BUY (rank=15),BSE500IETF,BSE500IETF,2021-02-08,,20.317,,10207.9553,,BULL
BUY,NEW BUY (rank=1),NV20,NV20,2021-02-08,,7419.85,,27.9514,,BULL
BUY,NEW BUY (rank=5),MIDCAPIETF,MIDCAPIETF,2021-02-08,,86.24,,2404.8588,,BULL
SELL,Rank 46 > 40,SBIETFQLTY,SBIETFQLTY,2020-08-24,2021-03-08,105.37,125.64,1667.5961,33782.17,BULL
BUY,NEW BUY (rank=5),JUNIORBEES,JUNIORBEES,2021-03-08,,368.33,,567.6129,,BULL
SELL,Regime slot reduction / sector cap / rank cut,JUNIORBEES,JUNIORBEES,2021-03-08,2021-03-29,368.33,355.51,567.6129,-7296.8,PARTIAL
SELL,Regime slot reduction / sector cap / rank cut,LOWVOLIETF,LOWVOLIETF,2020-08-31,2021-03-29,9.44,11.64,18453.2939,40577.25,PARTIAL
BUY,NEW BUY (rank=13),JUNIORBEES,JUNIORBEES,2021-04-05,,359.95,,572.5008,,BULL
BUY,NEW BUY (rank=18),INFRABEES,INFRABEES,2021-04-05,,423.63,,486.4426,,BULL
SELL,Regime slot reduction / sector cap / rank cut,JUNIORBEES,JUNIORBEES,2021-04-05,2021-04-26,359.95,360.14,572.5008,88.78,PARTIAL
SELL,Regime slot reduction / sector cap / rank cut,INFRABEES,INFRABEES,2021-04-05,2021-04-26,423.63,413.32,486.4426,-5035.22,PARTIAL
BUY,NEW BUY (rank=10),JUNIORBEES,JUNIORBEES,2021-05-03,,366.46,,558.799,,BULL
BUY,NEW BUY (rank=15),LOWVOLIETF,LOWVOLIETF,2021-05-03,,11.84,,17295.3943,,BULL
SELL,Regime slot reduction / sector cap / rank cut,JUNIORBEES,JUNIORBEES,2021-05-03,2021-11-01,366.46,445.76,558.799,44292.76,BULL
SELL,Regime slot reduction / sector cap / rank cut,NV20,NV20,2021-02-08,2021-11-01,7419.85,8932.6,27.9514,42263.45,BULL
SELL,Regime slot reduction / sector cap / rank cut,MIDCAPIETF,MIDCAPIETF,2021-02-08,2021-11-01,86.24,116.75,2404.8588,73352.24,BULL
BUY,NEW BUY (rank=5),SBIETFIT,SBIETFIT,2021-11-01,,359.7,,700.9922,,BULL
BUY,NEW BUY (rank=3),NIFTYIETF,NIFTYIETF,2021-11-01,,192.72,,1308.3587,,BULL
BUY,NEW BUY (rank=2),MID150BEES,MID150BEES,2021-11-01,,116.8,,2158.7919,,BULL
SELL,Regime slot reduction / sector cap / rank cut,SBIETFIT,SBIETFIT,2021-11-01,2021-11-29,359.7,356.28,700.9922,-2417.39,BEAR
SELL,TSL 5.7% >= 5%,NIFTYIETF,NIFTYIETF,2021-11-01,2021-11-29,192.72,183.47,1308.3587,-12122.32,BEAR
SELL,TSL 6.6% >= 5%,MID150BEES,MID150BEES,2021-11-01,2021-11-29,116.8,113.12,2158.7919,-7964.35,BEAR
SELL,TSL 6.2% >= 5%,LOWVOLIETF,LOWVOLIETF,2021-05-03,2021-11-29,11.84,13.73,17295.3943,32668.3,BEAR
SELL,TSL 6.8% >= 5%,BSE500IETF,BSE500IETF,2021-02-08,2021-11-29,20.317,24.25,10207.9553,40127.89,BEAR
BUY,NEW BUY (rank=1),SBIETFIT,SBIETFIT,2021-12-06,,357.72,,683.0998,,PARTIAL
BUY,NEW BUY (rank=5),MID150BEES,MID150BEES,2021-12-06,,114.71,,2130.2281,,PARTIAL
BUY,NEW BUY (rank=7),NV20IETF,NV20IETF,2021-12-06,,9.2,,26560.7021,,PARTIAL
BUY,NEW BUY (rank=7),BSE500IETF,BSE500IETF,2021-12-13,,24.87,,10029.2652,,BULL
BUY,NEW BUY (rank=9),INFRABEES,INFRABEES,2021-12-13,,524.57,,475.4901,,BULL
SELL,Regime slot reduction / sector cap / rank cut,SBIETFIT,SBIETFIT,2021-12-06,2021-12-20,357.72,366.37,683.0998,5888.81,BEAR
SELL,TSL 6.7% >= 5%,MID150BEES,MID150BEES,2021-12-06,2021-12-20,114.71,111.2,2130.2281,-7497.1,BEAR
SELL,TSL 5.8% >= 5%,INFRABEES,INFRABEES,2021-12-13,2021-12-20,524.57,494.16,475.4901,-14479.65,BEAR
SELL,TSL 5.2% >= 5%,BSE500IETF,BSE500IETF,2021-12-13,2021-12-20,24.87,23.57,10029.2652,-13058.04,BEAR
SELL,Regime slot reduction / sector cap / rank cut,NV20IETF,NV20IETF,2021-12-06,2021-12-20,9.2,9.38,26560.7021,4760.93,BEAR
BUY,NEW BUY (rank=1),SBIETFIT,SBIETFIT,2022-01-03,,400.65,,598.0755,,BULL
BUY,NEW BUY (rank=6),MID150BEES,MID150BEES,2022-01-03,,118.59,,2020.5663,,BULL
BUY,NEW BUY (rank=11),ALPL30IETF,ALPL30IETF,2022-01-03,,18.08,,13253.2607,,BULL
BUY,NEW BUY (rank=7),SHARIABEES,SHARIABEES,2022-01-03,,465.66,,514.5792,,BULL
BUY,NEW BUY (rank=5),NV20IETF,NV20IETF,2022-01-03,,9.87,,24277.5029,,BULL
SELL,TSL 10.3% >= 5%,SBIETFIT,SBIETFIT,2022-01-03,2022-01-24,400.65,359.2,598.0755,-24810.23,PARTIAL
SELL,TSL 7.4% >= 5%,SHARIABEES,SHARIABEES,2022-01-03,2022-01-24,465.66,438.46,514.5792,-14016.55,PARTIAL
SELL,Rank 41 > 40 | TSL 7.2% >= 5%,ALPL30IETF,ALPL30IETF,2022-01-03,2022-01-31,18.08,16.93,13253.2607,-15261.25,BEAR
SELL,TSL 5.4% >= 5%,MID150BEES,MID150BEES,2022-01-03,2022-01-31,118.59,115.4,2020.5663,-6465.61,BEAR
SELL,TSL 5.5% >= 5%,NV20IETF,NV20IETF,2022-01-03,2022-01-31,9.87,9.57,24277.5029,-7303.25,BEAR
BUY,NEW BUY (rank=2),ICICIB22,ICICIB22,2022-02-07,,48.1,,4700.9076,,PARTIAL
BUY,NEW BUY (rank=1),CPSEETF,CPSEETF,2022-02-07,,32.57,,6942.3904,,PARTIAL
BUY,NEW BUY (rank=3),MID150BEES,MID150BEES,2022-02-07,,115.59,,1956.1697,,PARTIAL
SELL,Regime slot reduction / sector cap / rank cut,ICICIB22,ICICIB22,2022-02-07,2022-02-14,48.1,46.94,4700.9076,-5473.05,BEAR
SELL,Regime slot reduction / sector cap / rank cut,CPSEETF,CPSEETF,2022-02-07,2022-02-14,32.57,31.77,6942.3904,-5573.91,BEAR
SELL,TSL 5.2% >= 5%,MID150BEES,MID150BEES,2022-02-07,2022-02-14,115.59,109.6,1956.1697,-11737.46,BEAR
BUY,NEW BUY (rank=2),ICICIB22,ICICIB22,2022-03-21,,47.96,,4626.2156,,PARTIAL
BUY,NEW BUY (rank=3),GOLDBEES,GOLDBEES,2022-03-21,,44.14,,5026.5814,,PARTIAL
BUY,NEW BUY (rank=1),CPSEETF,CPSEETF,2022-03-21,,33.23,,6676.8974,,PARTIAL
SELL,Regime slot reduction / sector cap / rank cut,ICICIB22,ICICIB22,2022-03-21,2022-03-28,47.96,48.63,4626.2156,3079.56,BEAR
SELL,Regime slot reduction / sector cap / rank cut,GOLDBEES,GOLDBEES,2022-03-21,2022-03-28,44.14,44.49,5026.5814,1739.3,BEAR
