TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,ENTRY_PRICE,EXIT_PRICE,SHARES,NET_PNL,REGIME
SELL,Regime slot reduction / sector cap / rank cut,SETFGOLD,SETFGOLD,2019-09-23,2019-10-07,33.67,34.27,5139.6397,3063.78,BEAR
SELL,Regime slot reduction / sector cap / rank cut,LICNETFSEN,LICNETFSEN,2019-09-23,2019-10-07,435.1,475.0,397.7285,15849.37,BEAR
SELL,Regime slot reduction / sector cap / rank cut,LICNETFGSC,LICNETFGSC,2019-09-23,2019-10-07,20.97,20.89,8252.3448,-680.19,BEAR
BUY,NEW BUY (rank=1),SETFGOLD,SETFGOLD,2019-10-21,,34.47,,5129.7092,,PARTIAL
BUY,NEW BUY (rank=12),LICNETFSEN,LICNETFSEN,2019-10-21,,486.3,,363.6049,,PARTIAL
BUY,NEW BUY (rank=11),LICNETFGSC,LICNETFGSC,2019-10-21,,21.53,,8212.7764,,PARTIAL
BUY,NEW BUY (rank=11),CONSUMBEES,CONSUMBEES,2019-11-04,,54.4,,3259.4141,,BULL
BUY,NEW BUY (rank=12),SBIETFQLTY,SBIETFQLTY,2019-11-04,,102.55,,1729.031,,BULL
SELL,Rank 42 > 40,LICNETFSEN,LICNETFSEN,2019-10-21,2019-12-02,486.3,490.0,363.6049,1325.34,BULL
SELL,Rank 44 > 40,SBIETFQLTY,SBIETFQLTY,2019-11-04,2019-12-02,102.55,98.72,1729.031,-6642.19,BULL
BUY,NEW BUY (rank=12),SETFNN50,SETFNN50,2019-12-02,,293.6,,589.9628,,BULL
BUY,NEW BUY (rank=11),HNGSNGBEES,HNGSNGBEES,2019-12-02,,323.19,,535.9482,,BULL
SELL,Rank 46 > 40 | TSL 7.6% >= 5%,LICNETFGSC,LICNETFGSC,2019-10-21,2019-12-09,21.53,20.07,8212.7764,-12010.65,BULL
BUY,NEW BUY (rank=12),SETF10GILT,SETF10GILT,2019-12-09,,186.0,,914.5882,,BULL
SELL,Rank 43 > 40,CONSUMBEES,CONSUMBEES,2019-11-04,2019-12-16,54.4,52.01,3259.4141,-7810.0,BULL
BUY,NEW BUY (rank=11),HDFCSENSEX,HDFCSENSEX,2019-12-16,,42.96,,3963.769,,BULL
SELL,Rank 46 > 40,SETF10GILT,SETF10GILT,2019-12-09,2019-12-23,186.0,189.5,914.5882,3181.06,BULL
BUY,NEW BUY (rank=14),LICNFNHGP,LICNFNHGP,2019-12-23,,128.6,,1368.9358,,BULL
SELL,Rank 50 > 40,LICNFNHGP,LICNFNHGP,2019-12-23,2020-01-20,128.6,127.01,1368.9358,-2196.61,BULL
BUY,NEW BUY (rank=3),SBIETFQLTY,SBIETFQLTY,2020-01-20,,101.92,,1769.7294,,BULL
SELL,TSL 5.6% >= 5%,SETFNN50,SETFNN50,2019-12-02,2020-02-03,293.6,283.36,589.9628,-6061.22,PARTIAL
