ticker,entry_date,exit_date,entry,exit,pct_return,pnl,reason,score
SAILIFE,2026-03-05,2026-03-06,1069.2,1037.0,-0.030115974560419045,-752.8993640104761,Stop Loss,7
SHRIRAMFIN,2025-10-29,2026-03-09,738.45,987.2,0.3368542216805471,8421.355542013676,Stop Loss,7
BEL,2026-03-02,2026-03-09,453.95,457.35,0.007489811653265854,187.24529133164634,Stop Loss,6
ANANDRATHI,2026-03-05,2026-03-09,3197.9,3151.0,-0.014665874480127612,-366.6468620031903,Stop Loss,7
LUPIN,2026-03-05,2026-03-09,2332.9,2303.1,-0.012773800848729127,-319.34502121822817,Stop Loss,6
GESHIP,2026-03-05,2026-03-09,1389.4,1338.5,-0.0366345184971931,-915.8629624298275,Stop Loss,6
GESHIP,2026-03-06,2026-03-09,1415.3,1338.5,-0.05426411361548785,-1356.6028403871962,Stop Loss,7
APLAPOLLO,2025-12-19,2026-03-11,1820.1,2016.3,0.10779627492994893,2694.9068732487235,Stop Loss,6
TVSMOTOR,2025-08-19,2026-03-12,3251.9,3422.6,0.05249238906485434,1312.3097266213585,Stop Loss,7
BHARATFORG,2026-02-12,2026-03-13,1726.7,1675.1,-0.029883592980830563,-747.0898245207641,Stop Loss,7
GLENMARK,2026-03-10,2026-03-13,2225.8,2170.7,-0.02475514421780949,-618.8786054452372,Stop Loss,7
ABSLAMC,2026-03-10,2026-03-13,975.75,932.8,-0.044017422495516316,-1100.4355623879078,Stop Loss,6
INOXINDIA,2026-03-10,2026-03-13,1192.6,1136.5,-0.04704008049639436,-1176.002012409859,Stop Loss,6
NATCOPHARM,2026-03-10,2026-03-13,1039.2,955.85,-0.0802059276366436,-2005.1481909160898,Stop Loss,6
ASTERDM,2026-03-11,2026-03-13,685.9,666.95,-0.02762793410118083,-690.6983525295208,Stop Loss,7
TATAPOWER,2026-03-12,2026-03-13,402.15,394.95,-0.017903767251025708,-447.5941812756427,Stop Loss,7
AUROPHARMA,2026-03-10,2026-03-16,1285.9,1279.6,-0.004899292324442166,-122.48230811105415,Stop Loss,6
GESHIP,2026-03-12,2026-03-16,1486.5,1373.4,-0.07608476286579206,-1902.1190716448016,Stop Loss,8
JBCHEPHARM,2026-03-10,2026-03-19,2117.4,2084.9,-0.015349012940398601,-383.72532350996505,Stop Loss,6
ATHERENERG,2026-03-20,2026-03-23,780.6,749.05,-0.04041762746605184,-1010.440686651296,Stop Loss,6
CCL,2026-03-20,2026-03-27,1087.6,1058.7,-0.026572269216623635,-664.3067304155909,Stop Loss,6
